Neurons,Batch Size,Epochs,Epoch 1,Eval Train,Eval Val,Eval Test
100,1,1,4486.987526681041,3337.8620785849635,673.4066869959934,660.4906802739715
100,8,1,747.8624860550044,583.3028099869844,117.36915812501684,118.40983045194298
100,16,1,466.41912447009236,381.243418389,75.4996169579681,76.95200910500716
100,32,1,326.39925363799557,282.1991551469546,56.43201574601699,56.788875045021996
100,64,1,241.74140557693318,219.36139295902103,43.530185323092155,43.53120032697916
100,128,1,201.17296481505036,189.78223290899768,37.92414491006639,38.005478312959895
400,8,1,787.3900204829406,617.3144752060762,123.00703422504012,122.55655650107656
400,16,1,489.6844080700539,409.1968016530154,81.7383771679597,82.10407645406667
400,32,1,332.7529402449727,288.190648835036,58.31918421492446,57.60698365198914
400,64,1,263.70591270993464,223.8865012889728,44.46030681300908,45.12119789805729
400,128,1,232.67543060402386,191.7236301919911,38.2027363210218,38.37091363198124
1600,32,1,484.94816301204264,298.3452909060288,60.222395582008176,60.241163935977966
